sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed
0,This is just a precious little diamond.,MEuGb7JpwaA=,M3xCSwJNEKA=,"I had to wonder, what is this guy's backstory? Did he even have a child at any time, and did he have to kill them like his mentor did to himself once?  He",9.3191,4174115899
1,"The play, the script are excellent.",NPV8O1nB5kA=,N42mXrLvFzI=,"I noticed a smaller reception from the audience compared to ""Legend of Overfiend"". Being a child of the '80s, my bias leads me to overestimate this film's value despite its mediocrity. 20/15",12.5051,3624168225
2,"I cant compare this movie with anything else, maybe except the movie ""Leon"" wonderfully played by Jean Reno and Natalie Portman.",ko7gRt5OZG046c7lRe/t9guEjgag,mz0zccJo6sEqTR8UBbSnjuXZH/kg,"I chuckled out loud during the scene on the beach, where they resembled paper cutouts from an earlier sequence, so much entertaining humor. I think giving it two more days for a repeat showing because there are countless details to appreciate a second time around. Despite its goofy US name and Secrets of a Call Girl marketing approach, it does neither feel like an exploitative nor criminal picture.  Instead of these labels, I think it better fits the genre known as a black comedy or satire of the adult entertainment industry. In addition, the characters",12.2414,1293464379
3,But... What can I say about this one?,M041Ab8lAAA=,MEqczWm+7gA=,Why did Josie resuscitate so perfectly? It is inescapable that two good-looking do-gooding individuals would exchange some tired comments regarding the condition of the world before tumbling into bed.  It is,8.9043,73272022
4,"This is the best movie Anne Parillaud has ever played in (See please ""Frankie Starlight"", she's speaking English there) to see what I mean.",5vpYEqbJzDJ0BDrcjuBgus6XUM5V4POvcPMCsqVAAA==,6H2AE586apvIjPWEwsyqG3kHIuBQ7hKHAPzOV9jMAA==,"Meg Ryan co-stars in this picture, portraying the role of Dolphins executive Melisa Robinson, a potential romantic partner of Ace in this picture. It serves to illuminates why the remainder of world despise us. Ha! Fare thee well.  And good luck with all of your viewing pleasures!  And have nice life.   Ha! Farewell.  And goodbye and nice viewings!  And have good life. Ha!!  And fare well! and good luck! Farewell  nice movie time.Ha!!! Farewell!!  and nice movie view! Farewell to nice time.  Ha! Goodbye and lucky nice viewing! Ha!!! And farewell to nice movie",15.4913,1559277910
5,"The story of young punk girl Nikita, taken into the depraved world of the secret government forces has been exceptionally over used by Americans.",tGeMUwvxHBymuewVVPmOnl3RLzvtBoI9HA==,v55q/MeJhFk155VBQPbgly8jHtaFU7mnag==,"The involvement of Roddy Mcdowell in this series is undoubtably a substantial advantage. He adds an air of authenticity and depth that is sorely lacking in other comparable productions. Instead, the movie feels overwhelmingly familiar and predictable, following a formulaic template that has been done countless times before. Despite a polished exterior, it ultimately falls short in delivering a captivating experience. Roddy Mc Dowall brings a sense of realness to this production, elevating it beyond the usual teen fare that fails to leave an impact. The movie may be adept at checking the right boxes in terms of style, music, and cliches but fails in creating a lasting impact. Ultimately it feels pass",10.9565,2676447288
6,"Never mind the ""Point of no return"" and especially the ""La femme Nikita"" TV series.",iQxweV1hohwKBLgLkYs4DNqA,gR2q1ByrEy7kQLM4EIMIhJOA,"It blew our minds, I tell you.I recorded the movie in a crappy VHS format and even have a copy of that recording till date.The movie's beginning was delightful, featuring a montage of sun flares and gruesome suicides set against a sensuous female orgasm. It completely won us over and we found ourselves glued to our TV sets as the movie progressed. I'll always cherish those 6-hour VHS recordings from",9.5474,3359924056
7,They cannot compare the original believe me!,QyfDzWvyEmjSng==,R1LtHKHs35HOeA==,"As I saw the film LUST, CAUTIOUS YEARS yesterday I wasn’t entirely sure about my thoughts. Being a productive member under the Communist yoke in Poland was quite an experience; the poor food supplies left a lot to desire when",17.5450,858203759
8,"Trash these videos.Buy this one, do not rent it, BUY it.",fyGvTogCAv1jZKuRvOfs3wA=,eKsepMRGZLYDUbCYPxaElgA=,"If David Lynch's last movie didn’t weird out enough... 'Empire of Inlands"" is going to blow you away... really! It looks like Chae is in the crosshairs; however, murder keeps happening as soon surveilling her.  */OUTPUT*/  » OUTPUT */OUTPUT / OUT Put simply... if Mulholland Drive wasn’t strange...'Empire in Inlands' is going to shock and awe... literally, David Lynch's last film",12.5514,4171973901
9,"BTW beware of the subtitles of the LA company which ""translate"" the US release.",ja2gxltTpSXYOfqVA20PREdY,hfKIQnyaBXL3TSgURxzDc3BY,"However, I must mention that the film was made with American funding and an American warship was even borrowed for its filmmaking purposes, so it would make sense that they are given recognition. Despite some drawbacks, there is undoubtedly something endearing and commendable about the picture from its top-caliber acting talent to a well-written screenplay, breathtaking scenery and authentic historical elements, including actual ships of that era and an authentic portrayal of history's details, and a clumsy",12.0617,3868190519
10,"What a disgrace!If you cant understand French, get a dubbed version.",dTNLeDP+sxO359mjQXttwA==,chJtohLTi6klvBghVDjjwA==,"I can't say I will rewatch this movie in near future, given how I find it uninspired and not to my liking in general as an entertainer. It'd be like me, Tang Wei, employing Chia Chi strategy from a couple of centuries back by using my beauty appeal in an effort to downfall significant figures. ",17.5553,2283571349
11,But you'll regret later :),ND4O8TxG6dY=,N0qkupUXkNo=,"I absolutely adore this anime, it holds the number one spot for me after One Piece. Gazing at those screen images, I find it utterly captivating, a real obsession for this world that I find",13.4910,2159666555
12,"When I say this is my favourite film of all time, that comment is not to be taken lightly.",S621ziKQlwXDRzg=,T1g2pGTdQzap2pA=,"If you're looking for something unique, give this movie a chance despite what you may have heard about the lack of a coherent plot and pointless gore. The dialogue might even surprise you. It starts strong with a promising beginning and intriguing characters, but eventually turns into a confusing jumble without any resolution.",9.2110,4112462818
13,"I probably watch far too many films than is healthy for me, and have loved quite a few of them.",Y2wC/QSaIuGfnOw9DIg=,ZT/9L/soqGfhhKZYhMA=,"Easier said than done as an overdue rent piled higher while a loud band rented space in their apartment, distracting them from concentrating fully as bills arrived relentlessly. However good his screen presence, sadly, he failed to dazzle the audience completely with his performance.  Simon Yam has an excellent ability to command",11.6017,2140960517
